lambda,risk,relative_score,rank
0.36,ADOPT,0.8260062451940448,4
0.37,GOV,0.9041422858363384,3
0.37,CONN,0.9611139213077783,2
0.37,SKILL,1.0,1
0.37,AFFORD,0.25770321396303475,6
0.37,TRUST,0.7221869102013359,5
0.37,ADOPT,0.8224776208682317,4
0.38,GOV,0.9066658799381426,3
0.38,CONN,0.9600119775377894,2
0.38,SKILL,1.0,1
0.38,AFFORD,0.2622603483743087,6
0.38,TRUST,0.7235263634771942,5
0.38,ADOPT,0.8189450048588112,4
0.39,GOV,0.9091779298928032,3
0.39,CONN,0.958911177994354,2
0.39,SKILL,1.0,1
0.39,AFFORD,0.26681588927847405,6
0.39,TRUST,0.7248596863046898,5
0.39,ADOPT,0.815408484677878,4
0.4,GOV,0.9116785071707716,3
0.4,CONN,0.9578115470672439,2
0.4,SKILL,1.0,1
0.4,AFFORD,0.2713697911925425,6
0.4,TRUST,0.7261868855073256,5
0.4,ADOPT,0.8118681468392598,4
0.41,GOV,0.914167682602088,3
0.41,CONN,0.956713108688176,2
0.41,SKILL,1.0,1
0.41,AFFORD,0.27592200925815524,6
0.41,TRUST,0.7275079681318606,5
0.41,ADOPT,0.8083240768710065,4
0.42,GOV,0.9166455263843696,3
0.42,CONN,0.9556158863381916,2
0.42,SKILL,1.0,1
0.42,AFFORD,0.2804724992332768,6
0.42,TRUST,0.728822941443653,5
0.42,ADOPT,0.8047763593276863,4
0.43,GOV,0.9191121080906722,3
0.43,CONN,0.9545199030549025,2
0.43,SKILL,1.0,1
0.43,AFFORD,0.2850212174840176,6
0.43,TRUST,0.7301318129220856,5
0.43,ADOPT,0.8012250778024995,4
0.44,GOV,0.9215674966772273,3
0.44,CONN,0.9534251814396159,2
0.44,SKILL,1.0,1
0.44,AFFORD,0.28956812097658485,6
0.44,TRUST,0.7314345902560734,5
0.44,ADOPT,0.7976703149392086,4
0.45,GOV,0.9240117604910572,3
0.45,CONN,0.9523317436643268,2
0.45,SKILL,1.0,1
0.45,AFFORD,0.29411316726935616,6
0.45,TRUST,0.7327312813396435,5
0.45,ADOPT,0.794112152443884,4
0.46,GOV,0.9264449672774736,3
0.46,CONN,0.9512396114786008,2
0.46,SKILL,1.0,1
0.46,AFFORD,0.29865631450507774,6
0.46,TRUST,0.734021894267601,5
0.46,ADOPT,0.7905506710964828,4
0.47,GOV,0.9288671841874531,3
0.47,CONN,0.9501488062163246,2
0.47,SKILL,1.0,1
0.47,AFFORD,0.30319752140317974,6
0.47,TRUST,0.7353064373312619,5
0.47,ADOPT,0.786985950762245,4
0.48,GOV,0.9312784777849026,3
0.48,CONN,0.9490593488023498,2
0.48,SKILL,1.0,1
0.48,AFFORD,0.30773674725221173,6
0.48,TRUST,0.7365849190142648,5
0.48,ADOPT,0.783418070402924,4
0.49,GOV,0.9336789140538095,3
0.49,CONN,0.9479712597590173,2
0.49,SKILL,1.0,1
0.49,AFFORD,0.31227395190239315,6
0.49,TRUST,0.7378573479884548,5
0.49,ADOPT,0.7798471080878512,4
0.5,GOV,0.9360685584052801,3
0.5,CONN,0.9468845592125692,2
0.5,SKILL,1.0,1
0.5,AFFORD,0.31680909575827604,6
0.5,TRUST,0.7391237331098375,5
0.5,ADOPT,0.7762731410048347,4
0.51,GOV,0.938447475684472,3
0.51,CONN,0.9457992668994536,2
0.51,SKILL,1.0,1
0.51,AFFORD,0.3213421397715213,6
0.51,TRUST,0.7403840834146042,5
0.51,ADOPT,0.7726962454708972,4
0.52,GOV,0.9408157301774149,3
0.52,CONN,0.944715402172517,2
0.52,SKILL,1.0,1
0.52,AFFORD,0.32587304543378287,6
0.52,TRUST,0.7416384081152266,5
0.52,ADOPT,0.7691164969428574,4
0.53,GOV,0.9431733856177323,3
0.53,CONN,0.9436329840070965,2
0.53,SKILL,1.0,1
0.53,AFFORD,0.3304017747696997,6
0.53,TRUST,0.7428867165966178,5
0.53,ADOPT,0.7655339700277549,4
0.54,GOV,0.945520505193254,2
0.54,CONN,0.942552031007002,3
